tcp_stream_name,timestamp,ip_len,payload_len,UAPRSF_tcp_flags
192.168.10.6:52420-85.239.237.225:443,1768691414.400679,60,0,000010!
85.239.237.225:443-192.168.10.6:52420,1768691414.400852,60,0,010010!
192.168.10.6:52420-85.239.237.225:443,1768691414.400953,52,0,010000!
192.168.10.6:52420-85.239.237.225:443,1768691414.402572,569,517,011000!
85.239.237.225:443-192.168.10.6:52420,1768691414.402718,52,0,010000!
85.239.237.225:443-192.168.10.6:52420,1768691414.954934,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691414.954953,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691414.954983,934,882,011000!
192.168.10.6:52420-85.239.237.225:443,1768691414.955167,52,0,010000!
192.168.10.6:52420-85.239.237.225:443,1768691414.956476,132,80,011000!
192.168.10.6:52420-85.239.237.225:443,1768691414.956617,191,139,011000!
85.239.237.225:443-192.168.10.6:52420,1768691414.956631,52,0,010000!
85.239.237.225:443-192.168.10.6:52420,1768691414.956805,52,0,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.182143,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.182163,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.182178,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.182252,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.182280,355,303,011000!
192.168.10.6:52420-85.239.237.225:443,1768691415.182307,52,0,010000!
192.168.10.6:52420-85.239.237.225:443,1768691415.182470,52,0,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.220849,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.220864,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.220942,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.220954,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.220963,1500,1448,011000!
192.168.10.6:52420-85.239.237.225:443,1768691415.221064,52,0,010000!
192.168.10.6:52420-85.239.237.225:443,1768691415.221153,52,0,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.315081,1500,1448,011000!
85.239.237.225:443-192.168.10.6:52420,1768691415.322741,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.322751,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.322815,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.322830,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.322836,1500,1448,011000!
192.168.10.6:52420-85.239.237.225:443,1768691415.322963,52,0,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.324703,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.324717,1500,1448,011000!
192.168.10.6:52420-85.239.237.225:443,1768691415.324856,52,0,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.328692,1500,1448,011000!
85.239.237.225:443-192.168.10.6:52420,1768691415.336764,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.336775,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.336825,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.336836,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.336841,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.336908,1500,1448,011000!
192.168.10.6:52420-85.239.237.225:443,1768691415.336956,52,0,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.337082,1500,1448,011000!
192.168.10.6:52420-85.239.237.225:443,1768691415.337257,52,0,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.338956,1500,1448,011000!
85.239.237.225:443-192.168.10.6:52420,1768691415.342724,1500,1448,011000!
192.168.10.6:52420-85.239.237.225:443,1768691415.342926,52,0,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.352697,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.352778,1500,1448,011000!
192.168.10.6:52420-85.239.237.225:443,1768691415.352934,52,0,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.571449,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.571514,1500,1448,011000!
85.239.237.225:443-192.168.10.6:52420,1768691415.571529,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.571576,1500,1448,011000!
85.239.237.225:443-192.168.10.6:52420,1768691415.571583,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.571592,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.571654,1500,1448,011000!
85.239.237.225:443-192.168.10.6:52420,1768691415.571661,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.571712,1500,1448,011000!
85.239.237.225:443-192.168.10.6:52420,1768691415.571719,1500,1448,010000!
192.168.10.6:52420-85.239.237.225:443,1768691415.571780,52,0,010000!
192.168.10.6:52420-85.239.237.225:443,1768691415.571918,52,0,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.571956,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.572023,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.572030,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.572047,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.572077,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.572107,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.572137,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.572178,1500,1448,011000!
192.168.10.6:52420-85.239.237.225:443,1768691415.572190,52,0,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.572239,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.572268,1500,1448,010000!
192.168.10.6:52420-85.239.237.225:443,1768691415.572286,52,0,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.572298,1500,1448,010000!
192.168.10.6:52420-85.239.237.225:443,1768691415.572391,52,0,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.572405,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.572442,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.572472,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.572513,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.572542,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.572573,1500,1448,010000!
192.168.10.6:52420-85.239.237.225:443,1768691415.572580,52,0,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.572602,1500,1448,011000!
85.239.237.225:443-192.168.10.6:52420,1768691415.572632,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.572662,1500,1448,011000!
192.168.10.6:52420-85.239.237.225:443,1768691415.572688,52,0,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.572724,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.572754,1500,1448,010000!
85.239.237.225:443-192.168.10.6:52420,1768691415.572783,1500,1448,010000!
