tcp_stream_name,timestamp,ip_len,payload_len,UAPRSF_tcp_flags
192.168.10.6:51152-185.125.190.49:80,1768687300.420905,52,0,010000!
192.168.10.6:51152-185.125.190.49:80,1768687300.420993,52,0,010001!
185.125.190.49:80-192.168.10.6:51152,1768687300.421006,52,0,010001!
192.168.10.6:51152-185.125.190.49:80,1768687300.421137,52,0,010000!
185.125.190.49:80-192.168.10.6:51152,1768687300.421188,52,0,010000!
20.205.243.166:443-192.168.10.6:56020,1768687300.585229,1500,1448,010000!
20.205.243.166:443-192.168.10.6:56020,1768687300.585257,1500,1448,010000!
20.205.243.166:443-192.168.10.6:56020,1768687300.585292,1500,1448,010000!
20.205.243.166:443-192.168.10.6:56020,1768687300.585314,717,665,011000!
20.205.243.166:443-192.168.10.6:56020,1768687300.597870,717,665,011000!
20.205.243.166:443-192.168.10.6:56020,1768687300.810865,1500,1448,010000!
20.205.243.166:443-192.168.10.6:56020,1768687301.226882,1500,1448,010000!
192.168.10.6:56020-20.205.243.166:443,1768687301.516094,64,0,010000!
192.168.10.6:56020-20.205.243.166:443,1768687301.516121,64,0,010000!
192.168.10.6:56020-20.205.243.166:443,1768687301.516125,64,0,010000!
192.168.10.6:57654-185.199.110.133:443,1768687301.517628,60,0,000010!
185.199.110.133:443-192.168.10.6:57654,1768687301.517871,60,0,010010!
192.168.10.6:57654-185.199.110.133:443,1768687301.517988,52,0,010000!
192.168.10.6:57654-185.199.110.133:443,1768687301.518720,569,517,011000!
185.199.110.133:443-192.168.10.6:57654,1768687301.518910,52,0,010000!
185.199.110.133:443-192.168.10.6:57654,1768687301.840235,1488,1436,011000!
192.168.10.6:57654-185.199.110.133:443,1768687301.840435,52,0,010000!
185.199.110.133:443-192.168.10.6:57654,1768687301.879075,1500,1448,010000!
185.199.110.133:443-192.168.10.6:57654,1768687301.879109,1500,1448,010000!
185.199.110.133:443-192.168.10.6:57654,1768687301.879149,1143,1091,011000!
192.168.10.6:57654-185.199.110.133:443,1768687301.879279,52,0,010000!
192.168.10.6:57654-185.199.110.133:443,1768687301.880699,116,64,011000!
192.168.10.6:57654-185.199.110.133:443,1768687301.880837,138,86,011000!
185.199.110.133:443-192.168.10.6:57654,1768687301.880923,52,0,010000!
192.168.10.6:57654-185.199.110.133:443,1768687301.880933,843,791,011000!
185.199.110.133:443-192.168.10.6:57654,1768687301.881057,52,0,010000!
185.199.110.133:443-192.168.10.6:57654,1768687301.881186,52,0,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.003046,117,65,011000!
192.168.10.6:57654-185.199.110.133:443,1768687302.003524,83,31,011000!
185.199.110.133:443-192.168.10.6:57654,1768687302.003761,52,0,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.004976,617,565,011000!
185.199.110.133:443-192.168.10.6:57654,1768687302.009075,1500,1448,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.009108,1500,1448,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.009133,1500,1448,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.009178,1452,1400,011000!
192.168.10.6:57654-185.199.110.133:443,1768687302.009347,52,0,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.011267,1500,1448,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.011357,1476,1424,011000!
192.168.10.6:57654-185.199.110.133:443,1768687302.011573,52,0,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.012943,1488,1436,011000!
185.199.110.133:443-192.168.10.6:57654,1768687302.014954,1488,1436,011000!
192.168.10.6:57654-185.199.110.133:443,1768687302.015152,52,0,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.016796,1500,1448,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.016896,1476,1424,011000!
192.168.10.6:57654-185.199.110.133:443,1768687302.017094,52,0,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.018845,1500,1448,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.018952,901,849,011000!
192.168.10.6:57654-185.199.110.133:443,1768687302.019142,52,0,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.023036,1500,1448,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.023108,1476,1424,011000!
192.168.10.6:57654-185.199.110.133:443,1768687302.023283,52,0,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.024573,1488,1436,011000!
185.199.110.133:443-192.168.10.6:57654,1768687302.041106,1488,1436,011000!
192.168.10.6:57654-185.199.110.133:443,1768687302.041374,52,0,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.041496,1500,1448,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.041572,1476,1424,011000!
192.168.10.6:57654-185.199.110.133:443,1768687302.041754,52,0,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.047278,1488,1436,011000!
185.199.110.133:443-192.168.10.6:57654,1768687302.047462,1488,1436,011000!
192.168.10.6:57654-185.199.110.133:443,1768687302.047646,52,0,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.048866,1488,1436,011000!
185.199.110.133:443-192.168.10.6:57654,1768687302.049280,1488,1436,011000!
192.168.10.6:57654-185.199.110.133:443,1768687302.049442,52,0,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.051382,1500,1448,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.051507,901,849,011000!
192.168.10.6:57654-185.199.110.133:443,1768687302.051769,52,0,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.053343,1500,1448,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.053442,1476,1424,011000!
192.168.10.6:57654-185.199.110.133:443,1768687302.053639,52,0,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.058971,1500,1448,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.059075,1476,1424,011000!
192.168.10.6:57654-185.199.110.133:443,1768687302.059337,52,0,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.087104,1500,1448,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.087276,1476,1424,011000!
192.168.10.6:57654-185.199.110.133:443,1768687302.087488,52,0,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.088941,1500,1448,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.089138,1476,1424,011000!
192.168.10.6:57654-185.199.110.133:443,1768687302.089483,52,0,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.090965,1500,1448,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.091149,1476,1424,011000!
192.168.10.6:57654-185.199.110.133:443,1768687302.091321,52,0,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.095913,1500,1448,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.095995,1476,1424,011000!
192.168.10.6:57654-185.199.110.133:443,1768687302.096256,52,0,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.096924,1500,1448,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.097021,1476,1424,011000!
192.168.10.6:57654-185.199.110.133:443,1768687302.097215,52,0,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.101247,1500,1448,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.101367,1476,1424,011000!
192.168.10.6:57654-185.199.110.133:443,1768687302.101655,52,0,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.102870,1500,1448,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.102975,1476,1424,011000!
192.168.10.6:57654-185.199.110.133:443,1768687302.103179,52,0,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.104945,1500,1448,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.105034,955,903,011000!
192.168.10.6:57654-185.199.110.133:443,1768687302.105195,52,0,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.109346,1488,1436,011000!
185.199.110.133:443-192.168.10.6:57654,1768687302.113304,1500,1448,010000!
185.199.110.133:443-192.168.10.6:57654,1768687302.113380,1476,1424,011000!
185.199.110.133:443-192.168.10.6:57654,1768687302.113544,1488,1436,011000!
192.168.10.6:57654-185.199.110.133:443,1768687302.113668,52,0,010000!
