tcp_stream_name,timestamp,ip_len,payload_len,UAPRSF_tcp_flags
192.168.10.6:34036-85.239.237.225:443,1768690775.792144,52,0,010000!
192.168.10.6:34036-85.239.237.225:443,1768690775.794559,569,517,011000!
85.239.237.225:443-192.168.10.6:34036,1768690775.794732,52,0,010000!
85.239.237.225:443-192.168.10.6:34036,1768690776.684765,1500,1448,010000!
85.239.237.225:443-192.168.10.6:34036,1768690776.684893,1500,1448,010000!
85.239.237.225:443-192.168.10.6:34036,1768690776.684981,934,882,011000!
192.168.10.6:34036-85.239.237.225:443,1768690776.685034,52,0,010000!
192.168.10.6:34036-85.239.237.225:443,1768690776.685109,52,0,010000!
192.168.10.6:34036-85.239.237.225:443,1768690776.686511,132,80,011000!
192.168.10.6:34036-85.239.237.225:443,1768690776.686648,191,139,011000!
85.239.237.225:443-192.168.10.6:34036,1768690776.686781,52,0,010000!
85.239.237.225:443-192.168.10.6:34036,1768690776.686810,52,0,010000!
85.239.237.225:443-192.168.10.6:34036,1768690776.992292,658,606,011000!
85.239.237.225:443-192.168.10.6:34036,1768690777.007230,1500,1448,010000!
85.239.237.225:443-192.168.10.6:34036,1768690777.007334,1500,1448,010000!
85.239.237.225:443-192.168.10.6:34036,1768690777.007351,1500,1448,010000!
192.168.10.6:34036-85.239.237.225:443,1768690777.007443,52,0,010000!
85.239.237.225:443-192.168.10.6:34036,1768690777.007454,1500,1448,010000!
85.239.237.225:443-192.168.10.6:34036,1768690777.007461,1500,1448,011000!
85.239.237.225:443-192.168.10.6:34036,1768690777.007473,1500,1448,010000!
85.239.237.225:443-192.168.10.6:34036,1768690777.007478,1500,1448,010000!
192.168.10.6:34036-85.239.237.225:443,1768690777.007518,52,0,010000!
85.239.237.225:443-192.168.10.6:34036,1768690777.007546,1500,1448,011000!
192.168.10.6:34036-85.239.237.225:443,1768690777.007654,52,0,010000!
192.168.10.6:34036-85.239.237.225:443,1768690777.007702,52,0,010000!
85.239.237.225:443-192.168.10.6:34036,1768690777.052675,1500,1448,010000!
85.239.237.225:443-192.168.10.6:34036,1768690777.052706,1500,1448,010000!
85.239.237.225:443-192.168.10.6:34036,1768690777.052733,1500,1448,010000!
85.239.237.225:443-192.168.10.6:34036,1768690777.052759,1500,1448,011000!
192.168.10.6:34036-85.239.237.225:443,1768690777.052952,52,0,010000!
85.239.237.225:443-192.168.10.6:34036,1768690777.061218,1500,1448,010000!
85.239.237.225:443-192.168.10.6:34036,1768690777.061289,1500,1448,010000!
85.239.237.225:443-192.168.10.6:34036,1768690777.061294,1500,1448,010000!
85.239.237.225:443-192.168.10.6:34036,1768690777.061367,1500,1448,010000!
85.239.237.225:443-192.168.10.6:34036,1768690777.061382,1500,1448,010000!
85.239.237.225:443-192.168.10.6:34036,1768690777.061441,1500,1448,010000!
