tcp_stream_name,timestamp,ip_len,payload_len,UAPRSF_tcp_flags
91.92.241.10:80-192.168.10.6:49512,1768684625.908773,1500,1448,011000!
91.92.241.10:80-192.168.10.6:49512,1768684625.908803,1500,1448,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.908816,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.908887,1500,1448,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.908947,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.908971,1500,1448,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.908983,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.909075,1500,1448,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.909084,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.909103,1500,1448,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.909220,1500,1448,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.909235,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.909256,1500,1448,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.909347,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.909362,1500,1448,011000!
91.92.241.10:80-192.168.10.6:49512,1768684625.909441,1500,1448,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.909499,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.909505,1500,1448,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.909590,1500,1448,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.909636,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.909650,1500,1448,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.909757,1500,1448,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.909765,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.909789,1500,1448,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.909867,1500,1448,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.909916,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.909927,1500,1448,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.910045,1500,1448,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.910060,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.910075,1500,1448,011000!
185.125.190.49:80-192.168.10.6:47478,1768684625.910194,52,0,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.910205,52,0,010000!
192.168.10.6:38226-185.125.190.97:80,1768684625.910397,52,0,010001!
91.92.241.10:80-192.168.10.6:49512,1768684625.910569,1500,1448,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.910645,1500,1448,011000!
192.168.10.6:49512-91.92.241.10:80,1768684625.910677,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.910690,1500,1448,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.910732,1500,1448,011000!
192.168.10.6:49512-91.92.241.10:80,1768684625.910825,52,0,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.910845,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.910854,1500,1448,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.910947,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.910981,1500,1448,011000!
91.92.241.10:80-192.168.10.6:49512,1768684625.911014,1500,1448,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.911078,52,0,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.911099,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.911116,1500,1448,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.911162,1500,1448,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.911218,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.911260,1500,1448,011000!
91.92.241.10:80-192.168.10.6:49512,1768684625.911293,1500,1448,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.911344,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.911405,1500,1448,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.911472,1500,1448,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.911480,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.911534,1500,1448,011000!
91.92.241.10:80-192.168.10.6:49512,1768684625.911580,1500,1448,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.911642,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.911675,1500,1448,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.911720,1500,1448,010000!
192.168.10.6:49512-91.92.241.10:80,1768684625.911773,52,0,010000!
91.92.241.10:80-192.168.10.6:49512,1768684625.911820,1500,1448,011000!
91.92.241.10:80-192.168.10.6:49512,1768684625.911850,1500,1448,010000!
